sample-id	faith_pd
A1-2	2.212234400861023
A1-3	0.5426543190306528
A10-1	2.7892936245336046
A10-2	0.43707390511979094
A12-1	0.5327779635495591
A13-6	2.2868463239455257
A14	0.832461615413004
A15-1	0.9920008230080151
A15-8	0.474297338852117
A17-8	1.4005017659975385
A2-2	0.9699317954293165
A21-9	0.5044044468714399
A30-10	2.1399739587314732
A34-4	0.5837963286204433
A36	0.6017693524305963
A37-7	1.6374704542801504
A4-5	1.6013142072919182
A40-2	1.263415822270174
A43-3	0.5837963286204433
A44-5	1.8452728594244712
A46-6	1.8686966311987456
A6-1	1.1910701803220478
A7-1	1.905390705923394
A8	1.5129360623235866
A9-1	1.3189549166709185
FL-1	2.727959021556608
FL-10	0.44593720341089105
FL-12	2.996482036074857
FL-13	2.0337984051820333
FL-14	1.2620980291788348
FL-15	1.4781790127334777
FL-17	1.248374718095684
FL-18	1.2428739803655717
FL-20	3.4569615954751285
FL-21	1.3911725974058902
FL-22	2.6683353478191387
FL-23	4.4725049810003625
FL-24	3.39674435826793
FL-25	3.0810209764838152
FL-27	1.779403040003841
FL-3	1.9553899989439656
FL-5	0.832053292023438
FL-6	3.1978088878288258
FL-7	0.8775835077683865
FL-8	0.825261729623699
FL-9	0.7673185783727137
H115-2	0.49088032729923725
H124-2	0.622297091409564
H134-2	0.40325775392113083
H146-2	0.40816636498777026
H164-2	0.7256483696401119
H174-4	2.601003072637489
H176-4	0.5881699998804453
H183-4	0.44335822584678164
H184-4	0.8600713434686207
H194-2	2.0508627710921012
H200-4	1.9148790913737939
H218-2	0.5837963286204433
H220-4	1.636637888183814
H224-4	1.0899715980501643
H225-4	0.9017104442288422
H226-4	1.097657622984729
H227-4	1.9170408645513604
H45-1	0.5191510667733001
H49	0.44078399927235123
H50-1	3.0226071335479245
L12-3	0.8164317952234637
L15-1	2.3251846426153353
L23-2	0.5425345059249889
L23-3	0.8629717424917458
